Account,trade_date,daily_pnl,total_fee,trades,realized_trades,profitable_trades,losing_trades,avg_trade_size_usd,median_trade_size_usd,gross_notional_usd,avg_abs_start_position,buy_trades,sell_trades,long_flag_count,short_flag_count,trade_win_rate,long_short_ratio,net_pnl_after_fees,active_day,classification,value,sentiment_bucket
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,6.71802,45,36,36,0,2985.797555555556,2999.15,134360.89,1286.1873866666667,36,9,0,45,1.0,0.0,9475.503421,1,Extreme Fear,20.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,268.294625,641,540,540,0,8371.136099843994,1017.21,5365898.24,1284.9850450858034,540,101,0,641,1.0,0.0,533706.368278,1,Fear,33.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,39.819998,5,4,4,0,79640.0,29215.05,398200.0,397.66945999999996,4,1,0,5,1.0,0.0,40160.180002,1,Neutral,45.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,66.62407,31,31,31,0,21491.640322580646,138.95,666240.85,327.64966129032257,31,0,0,31,1.0,0.0,307789.17934,1,Fear,43.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,34.68082399,55,46,46,0,2469.9509090909087,1190.66,135847.3,3384.2322048356364,8,47,0,0,1.0,,11681.26240601,1,Extreme Greed,84.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,0.0,1,0,0,0,0.06,0.06,0.06,0.00736001,0,1,0,0,,,0.0,1,Extreme Greed,81.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,1.31668822,34,0,0,0,1426.8700000000001,398.63,48513.58,1404.1110367955882,34,0,0,0,,,-1.31668822,1,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,5.2028479999999995,26,25,25,0,2001.101153846154,148.86,52028.630000000005,2837.004465837692,0,26,0,0,1.0,,3509.828217,1,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,1.4383267,46,0,0,0,1131.888695652174,924.165,52066.88,1796.5259965830435,46,0,0,0,,,-1.4383267,1,Extreme Greed,78.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,19.104602,64,63,63,0,852.88625,534.595,54584.72,2136.6387043109376,0,64,0,0,1.0,,2498.682783,1,Extreme Greed,78.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,20.81460217,59,15,15,0,1913.523898305085,801.92,112897.91,1297.9417629554237,44,15,0,0,1.0,,1592.3513008300001,1,Extreme Greed,81.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,0.0,1,0,0,0,0.11,0.11,0.11,0.00481383,0,1,0,0,,,0.0,1,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,119.60926,34,21,21,0,10051.199411764705,9362.675,341740.77999999997,25.766332352941177,13,21,34,0,1.0,,1125.9092500000002,1,Greed,74.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,61.51029,13,0,0,0,2845.9646153846156,73.33,36997.54,94999.81540769231,13,0,0,0,,,-61.51029,1,Greed,61.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,14.521732,17,17,17,0,2440.6282352941175,82.1,41490.68,138294.66617411765,0,17,0,0,1.0,,4478.710747,1,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,89.144541,39,28,28,0,2154.3915384615384,69.97,84021.26999999999,99306.0964676923,10,29,0,0,1.0,,957.886451,1,Extreme Greed,77.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124.96169717000001,124,80,80,0,2194.294758064516,405.47,272092.55,50864.7254513083,43,81,0,0,1.0,,4717.09261983,1,Extreme Greed,77.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,108.05738221,339,198,198,0,1737.369557522124,1399.8,588968.28,1439.303370050295,141,198,0,0,1.0,,1585.43578279,1,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,24.25559825,54,4,4,0,2398.331666666667,598.0799999999999,129509.91,1604.4018683022223,50,4,0,0,1.0,,4196.900800750001,1,Extreme Greed,75.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,1.05928092,44,0,0,0,1519.465681818182,1259.77,66856.49,1446.7921964788636,44,0,0,0,,,-1.05928092,1,Greed,71.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,25.814472,56,56,56,0,1317.0667857142857,605.085,73755.74,1479.0476168830357,0,56,0,0,1.0,,6873.4313600000005,1,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,1.16815524,46,0,0,0,1602.9452173913044,1631.565,73735.48,1518.0004349069566,46,0,0,0,,,-1.16815524,1,Greed,72.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,28.387735,55,55,55,0,1474.6896363636365,839.45,81107.93000000001,1666.9589487965454,0,55,0,0,1.0,,7344.097366,1,Greed,70.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,29.90369878,78,25,25,0,2094.719358974359,820.42,163388.11,1713.5666803135898,53,25,0,0,1.0,,1132.09884222,1,Greed,68.0,Greed
